LW Notes,Colony,spplots,Species,Year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
,Ramsay Island,anmuplots,ANMU,1984,20,7,11,35,22,28,7,24,12,14,24,14,218,,
,Ramsay Island,anmuplots,ANMU,1992,21,10,13,42,29,32,9,34,,23,33,9,255,,
,Ramsay Island,anmuplots,ANMU,2002,22,12,10,47,34,36,13,45,13,29,47,16,324,,
,Ramsay Island,anmuplots,ANMU,2007,21,16,11,45,37,29,18,34,18,29,47,15,320,,
,Ramsay Island,anmuplots,ANMU,2012,39,16,19,47,40,23,42,55,24,31,51,13,400,,
,Ramsay Island,caauplots,CAAU,1984,40,45,34,40,58,28,18,26,56,,,,,,
,Ramsay Island,caauplots,CAAU,1992,,,33,37,,,,25,,,,,,,
,Ramsay Island,caauplots,CAAU,1993,43,47,37,41,56,,,,,,,,,,
,Ramsay Island,caauplots,CAAU,2002,40,55,33,40,58,41,25,27,41,,,,,,
,Ramsay Island,caauplots,CAAU,2007,40,52,30,39,51,31,30,29,60,,,,,,
,Ramsay Island,caauplots,CAAU,2012,53,56,39,52,75,43,39,31,92,,,,,,
,Ramsay Island,caauplots,ANMU,1984,0,0,0,0,0,0,2,0,0,,,,,,
,Ramsay Island,caauplots,ANMU,1992,,,0,0,,,,0,,,,,,,
,Ramsay Island,caauplots,ANMU,1993,0,0,0,0,0,,,,,,,,,,
,Ramsay Island,caauplots,ANMU,2002,0,0,0,0,0,2,2,0,0,,,,,,
,Ramsay Island,caauplots,ANMU,2007,0,0,0,0,10,1,0,0,0,,,,,,
,Ramsay Island,caauplots,ANMU,2012,0,0,0,0,0,0,0,0,0,,,,,,
,Pine Island,rhauplots,RHAU,1984,76,99,91,19,56,125,55,64,,,,,,,
,Pine Island,rhauplots,RHAU,1985,,,,20,58,,,,,,,,,,
,Pine Island,rhauplots,RHAU,1986,,,,21,62,,,,,,,,,,
,Pine Island,rhauplots,RHAU,1987,,,91,21,61,,58,62,,,,,,,
,Pine Island,rhauplots,RHAU,1990,,,112,26,63,,60,62,,,,,,,
,Pine Island,rhauplots,RHAU,2001,83,73,75,14,36,104,31,37,,,,,,,
,Pine Island,rhauplots,RHAU,2006,81,73,75,11,53,116,28,36,,,,,,,
,Pine Island,rhauplots,RHAU,2011,80,74,75,12,42,123,25,34,,,,,,,
,Pine Island,rhauplots,RHAU,2016,,,66,14,53,126,20,38,,,,,,,
,Lucy Islands,rhauplots,RHAU,1984,30,22,50,54,26,,,,,,,,,,
,Lucy Islands,rhauplots,RHAU,1987,48,33,47,78,38,,,,,,,,,,
,Lucy Islands,rhauplots,RHAU,2006,38,58,,63,,,,,,,,,,,
,Lucy Islands,rhauplots,RHAU,2008,,,39,,,,,,,,,,,,
,Lucy Islands,rhauplots,RHAU,2011,41,58,46,56,30,,,,,,,,,,
,Lucy Islands,rhauplots,RHAU,2016,46,51,31,51,36,,,,,,,,,,
,Skaang Gwai,rhauplots,RHAU,1985,9,18,46,36,46,49,21,32,,,,,,,
,Skaang Gwai,rhauplots,RHAU,2006,19,17,56,39,,82,23,82,,,,,,,
,Skaang Gwai,rhauplots,RHAU,2011,24,18,73,39,,92,27,90,,,,,,,
,Skaang Gwai,rhauplots,RHAU,2016,24,24,61,51,,86,28,94,,,,,,,
,Skaang Gwai,rhauplots,CAAU,1985,,,,,7,16,4,29,,,,,,,
,Skaang Gwai,rhauplots,CAAU,2006,,,,,,13,6,4,,,,,,,
,Skaang Gwai,rhauplots,CAAU,2011,,,,,,10,3,7,,,,,,,
,Skaang Gwai,rhauplots,CAAU,2016,,,,,,20,9,11,,,,,,,
,George Island,anmuplots,ANMU,1985,31,49,11,32,37,23,37,38,,,,,,,
,George Island,anmuplots,ANMU,1991,43,72,18,41,47,26,39,40,,,,,,,
,George Island,anmuplots,ANMU,1996,51,77,26,45,53,33,38,46,,,,,,,
,George Island,anmuplots,ANMU,2003,52,75,39,41,52,31,42,42,,,,,,,
,George Island,anmuplots,ANMU,2008,54,85,45,50,57,31,54,36,,,,,,,
,George Island,anmuplots,ANMU,2008,54,85,45,50,57,31,54,36,,,,,,,
,George Island,anmuplots,ANMU,2013,61,91,48,49,73,31,64,42,,,,,,,
StormPetrels & CAAU also identified in some plots - data not provided for any years,George Island,anmuplots,ANMU,2017,47,78,51,48,64,27,69,45,,,,,,,
,East Copper Island,caauplots,CAAU,1985,18,27,56,48,52,36,,,,,,,,,
,East Copper Island,caauplots,CAAU,1991,19,32,45,51,52,38,,,,,,,,,
,East Copper Island,caauplots,CAAU,2003,20,31,43,46,36,22,,,,,,,,,
,East Copper Island,caauplots,CAAU,2008,22,37,35,47,38,19,,,,,,,,,
,East Copper Island,caauplots,CAAU,2013,28,47,36,56,44,25,,,,,,,,,
StormPetrels identified in some plots - data not provided for any years,East Copper Island,caauplots,CAAU,2017,25,45,31,62,36,35,,,,,,,,,
,Rankine Island,anmuplots,ANMU,1984,65,21,38,47,56,77,35,37,,,,,,,
,Rankine Island,anmuplots,ANMU,2000,58,16,31,47,60,70,36,51,,,,,,,
,Rankine Island,anmuplots,ANMU,2005,61,11,30,54,65,69,38,57,,,,,,,
,Rankine Island,anmuplots,ANMU,2010,60,18,30,62,80,59,45,70,,,,,,,
StormPetrels & CAAU also identified in some plots - data not provided for any years,Rankine Island,anmuplots,ANMU,2017,69,17,37,51,72,43,47,74,,,,,,,
,Rankine Island,caauplots,CAAU,1984,77,32,57,29,43,60,49,50,,,,,,,
,Rankine Island,caauplots,CAAU,2000,33,24,50,23,35,48,21,37,,,,,,,
,Rankine Island,caauplots,CAAU,2005,29,29,64,25,37,59,23,30,,,,,,,
,Rankine Island,caauplots,CAAU,2010,35,30,59,27,35,60,24,28,,,,,,,
,Rankine Island,caauplots,StormPetrel,1984,2,4,13,2,0,1,0,0,,,,,,,
,Rankine Island,caauplots,ANMU ,1984,0,0,0,0,0,0,0,0,,,,,,,
,Rankine Island,caauplots,StormPetrel,2000,1,6,26,4,1,1,0,0,,,,,,,
,Rankine Island,caauplots,ANMU ,2000,0,0,0,0,0,0,0,0,,,,,,,
,Rankine Island,caauplots,StormPetrel,2005,2,3,25,5,0,0,0,0,,,,,,,
,Rankine Island,caauplots,ANMU ,2005,0,0,0,1,1,1,0,0,,,,,,,
,Rankine Island,caauplots,StormPetrel,2010,2,10,26,5,0,4,0,2,,,,,,,
,Rankine Island,caauplots,ANMU ,2010,0,0,1,0,0,0,0,0,,,,,,,
,Rankine Island,caauplots,CAAU,2017,35,40,59,31,41,50,26,24,,,,,,,
,Rankine Island,caauplots,StormPetrel,2017,9,11,32,4,2,15,1,7,,,,,,,
,Rankine Island,caauplots,ANMU ,2017,0,2,2,1,0,0,0,1,,,,,,,
,Triangle Island,caauplots,CAAU,1989,86,187,257,305,139,182,126,171,247,247,221,379,122,99,354
,Triangle Island,caauplots,CAAU,1994,96,151,213,288,153,181,129,149,204,,200,291,,,
,Triangle Island,caauplots,CAAU,1999,,115,197,233,143,158,95,113,149,,161,155,,,
,Triangle Island,caauplots,CAAU,2014,54,137,208,264,135,205,117,107,140,148,249,183,105,27,257
,Triangle Island,caauplots,RHAU,1994,,,,,,,,,,,,,,,
,Triangle Island,caauplots,RHAU,2004,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0
,Triangle Island,caauplots,RHAU,2009,0,0,0,0,0,0,0,0,0,0,1,32,0,35,3
,Triangle Island,caauplots,unidentified,1989,,,,,,,,,,,,,,,
,Triangle Island,caauplots,unidentified,1994,,,,,,,,,,,,,,,
,Triangle Island,caauplots,unidentified,1999,,,,,,,,,,,,,,,
,Triangle Island,caauplots,unidentified,2004,,,,,,,,,,,,,,,
,Triangle Island,caauplots,unidentified,2009,,,,,,,,,,,,,,,
,Triangle Island,caauplots,unidentified,2014,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
,Triangle Island,rhauplots,RHAU,1984,27,55,119,83,128,123,,,,,,,,,
,Triangle Island,rhauplots,RHAU,1989,55,98,83,53,81,75,,,,,,,,,
,Triangle Island,rhauplots,RHAU,1994,37,79,,65,81,82,,,,,,,,,
,Triangle Island,rhauplots,RHAU,1999,40,95,,87,125,134,,,,,,,,,
,Triangle Island,rhauplots,RHAU,2014,50,72,34,81,113,143,67,118,,,,,,,
,Triangle Island,rhauplots,CAAU,1984,11,3,3,15,19,23,,,,,,,,,
,Triangle Island,rhauplots,CAAU,1989,39,17,4,20,6,64,,,,,,,,,
,Triangle Island,rhauplots,CAAU,1994,4,12,,27,5,54,,,,,,,,,
,Triangle Island,rhauplots,CAAU,2004,11,0,,9,0,20,,,,,,,,,
,Triangle Island,rhauplots,CAAU,2009,0,0,0,8,1,6,26,5,,,,,,,
,Triangle Island,rhauplots,CAAU,2014,4,2,0,12,6,12,75,15,,,,,,,
,Triangle Island,rhauplots,unidentified,1984,6,0,0,0,0,0,,,,,,,,,
,Triangle Island,rhauplots,unidentified,1989,10,15,2,17,21,19,,,,,,,,,
,Triangle Island,rhauplots,unidentified,1994,0,1,,1,1,0,,,,,,,,,
,Triangle Island,rhauplots,unidentified,1999,0,0,,0,0,4,,,,,,,,,
,Triangle Island,rhauplots,unidentified,2004,0,0,,0,0,0,,,,,,,,,
,Triangle Island,rhauplots,unidentified,2009,0,0,0,0,0,0,0,0,,,,,,,
,Triangle Island,rhauplots,unidentified,2014,1,0,0,0,2,0,1,2,,,,,,,
,Triangle Island,tupuplots,TUPU,1984,98,69,16,64,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,1989,100,97,12,67,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,1994,72,75,7,51,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,1999,94,71,8,57,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,2004,71,61,7,36,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,2009,84,71,11,61,,,,,,,,,,,
,Triangle Island,tupuplots,TUPU,2014,74,45,33,na,59,,,,,,,,,,
,Triangle Island,tupuplots,CAAU,1984,21,6,393,49,,,,,,,,,,,
,Triangle Island,tupuplots,CAAU,1989,40,9,440,72,,,,,,,,,,,
,Triangle Island,tupuplots,CAAU,1994,38,38,401,114,,,,,,,,,,,
,Triangle Island,tupuplots,CAAU,1999,20,31,345,73,,,,,,,,,,,
,Triangle Island,tupuplots,CAAU,2004,28,12,368,32,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,1984,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,1989,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,1994,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,1999,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,2004,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,2009,0,0,0,0,,,,,,,,,,,
,Triangle Island,tupuplots,unidentified,2014,1,0,0,na,1,,,,,,,,,,
New - revised,Triangle Island,caauplots,CAAU,2004,39,105,256,237,148,157,98,136,170,119,177,190,71,39,177
New - revised,Triangle Island,caauplots,CAAU,2009,36,95,143,190,147,168,88,110,158,116,176,136,74,23,173
New,Triangle Island,caauplots,CAAU,2019,39,71,167,204,117,207,97,113,181,134,202,135,66,26,194
New - revised,Triangle Island,caauplots,RHAU,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
New - revised,Triangle Island,caauplots,RHAU,1999,,0,0,0,0,0,0,0,0,,1,0,,,
New - revised,Triangle Island,caauplots,RHAU,2014,0,0,0,0,0,0,0,0,2,8,2,37,0,34,9
New,Triangle Island,caauplots,RHAU,2019,0,0,0,4,0,1,0,0,0,7,7,48,0,42,1
New,Triangle Island,caauplots,unidentified,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,Triangle Island,caauplots,TUPU,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New,Triangle Island,caauplots,TUPU,1994,0,0,0,0,0,0,0,0,0,,0,0,,,
New,Triangle Island,caauplots,TUPU,1999,,0,0,0,0,0,0,0,0,,0,0,,,
New,Triangle Island,caauplots,TUPU,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New,Triangle Island,caauplots,TUPU,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,Triangle Island,caauplots,TUPU,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,Triangle Island,caauplots,TUPU,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New - revised,Triangle Island,rhauplots,RHAU,2004,34,89,,72,99,102,,,,,,,,,
New - revised,Triangle Island,rhauplots,RHAU,2009,66,106,43,104,149,156,66,144,,,,,,,
New,Triangle Island,rhauplots,RHAU,2019,39,75,43,73,105,90,98,110,,,,,,,
New - revised,Triangle Island,rhauplots,CAAU,1999,9,4,,8,4,24,,,,,,,,,
New,Triangle Island,rhauplots,CAAU,2019,17,15,1,16,9,58,12,22,,,,,,,
New,Triangle Island,rhauplots,unidentified,2019,0,0,0,0,0,0,0,0,,,,,,,
New,Triangle Island,tupuplots,TUPU,2019,63,51,16,,83,,,,,,,,,,
New - revised,Triangle Island,tupuplots,CAAU,2009,20,1,297,27,,,,,,,,,,,
New - revised,Triangle Island,tupuplots,CAAU,2014,87,53,503,,96,,,,,,,,,,
New,Triangle Island,tupuplots,CAAU,2019,86,15,381,,69,,,,,,,,,,
New,Triangle Island,tupuplots,unidentified,2019,0,0,0,,0,,,,,,,,,,
